Time (seconds since epoch),Left (mL),Right (mL),Avg Diff (mL)
1691493342.7665431,nan,nan,nan
1691493347.7721984,12.66622298382675,11.394032633326463,1.2721903505002867
1691493352.7878268,12.597994446597156,11.324248974634488,1.273745471962668
1691493357.8124332,12.599779428831523,11.309628831822234,1.2901505970092888
1691493362.8370478,12.584841087321356,11.292009517782132,1.2928315695392243
1691493367.8786037,12.515150458892943,11.228958363478752,1.2861920954141919
1691493372.9032092,12.399599908484163,11.126764036726192,1.2728358717579713
1691493377.9108603,12.322858888070762,11.057074521962655,1.2657843661081074
1691493382.9514256,12.240196070994498,10.98260710727693,1.2575889637175681
1691493387.9630928,12.179567012052276,10.908992282786041,1.2705747292662348
1691493392.9767034,12.135749528437588,10.83243937173775,1.3033101566998369
1691493398.0212746,12.100414485455788,10.776309306732136,1.3241051787236522
1691493403.0418735,12.05644994357408,10.718330809266028,1.3381191343080516
1691493408.09341,11.97449569460005,10.608813894404781,1.3656818001952686
1691493413.1140277,11.902441795925037,10.506024213780563,1.3964175821444744
1691493418.1376355,11.829679354814065,10.392370517679055,1.43730883713501
1691493423.175208,11.779693165355228,10.282114498440663,1.4975786669145652
1691493428.2018278,11.76548837823237,10.190766510143575,1.574721868088794
1691493433.2453907,11.779922924547423,10.132918376466785,1.6470045480806377
1691493438.2825034,11.815834350703543,10.058299992332161,1.757534358371382
1691493443.3277748,11.847163786462731,10.001490995391407,1.8456727910713244
1691493448.3449717,11.879727344873423,9.957920911701772,1.9218064331716516
1691493453.364516,11.936829625844299,9.916708608990838,2.0201210168534605
1691493458.3776054,11.98298342716189,9.873893267308723,2.1090901598531673
1691493463.3949723,12.05083524382723,9.838143773673723,2.2126914701535068
1691493468.4428678,12.119617311515057,9.810775256427426,2.3088420550876307
1691493473.452534,12.204271170188,9.782833683150498,2.421437487037501
1691493478.4833395,12.278899775084103,9.768066260069794,2.5108335150143084
1691493483.50325,12.333770474331883,9.756196187399288,2.5775742869325953
1691493488.522206,12.391393273985484,9.735097320362852,2.6562959536226316
1691493493.5567703,12.461958800235646,9.710017706911072,2.7519410933245734
1691493498.608388,12.498441551530528,9.704774077575518,2.7936674739550096
1691493503.6263723,12.567935486055976,9.69188639424562,2.8760490918103567
1691493508.664941,12.62676551407986,9.674417744074955,2.9523477700049057
1691493513.6895452,12.656094637300711,9.673738840989259,2.9823557963114524
1691493518.7329102,12.674218935345566,9.675623239402073,2.998595695943493
1691493523.7807155,12.661979922587271,9.681919491605298,2.9800604309819736
1691493528.790002,12.642666434509385,9.676955734874067,2.965710699635318
1691493533.8111837,12.597173551068487,9.683472051080827,2.91370149998766
1691493538.858222,12.513008211370853,9.689332871525078,2.8236753398457743
1691493543.9016492,12.4281960186293,9.696028565311032,2.7321674533182687
1691493548.9460936,12.310983404202391,9.721507422042704,2.589475982159687
1691493553.9773643,12.196275518975908,9.747282582497641,2.448992936478266
1691493559.0197263,12.082396217269524,9.77301747784197,2.3093787394275545
1691493564.0377386,11.961535262358158,9.81005506894424,2.151480193413917
1691493569.0632334,11.850919057200475,9.852849413847206,1.9980696433532685
1691493574.0987422,11.742033670674003,9.888595433749932,1.8534382369240703
1691493579.1513402,11.665925619430812,9.936975728596636,1.7289498908341763
1691493584.19343,11.68447265786845,9.99622072206683,1.6882519358016204
1691493589.2327516,11.718098144099477,10.034644961607702,1.6834531824917747
1691493594.2504356,11.785213095327403,10.078503249987222,1.7067098453401819
1691493599.264147,11.900900588001926,10.121115256183412,1.7797853318185144
1691493604.3047159,12.029315431208259,10.158401815908894,1.870913615299365
1691493609.3447003,12.175722657589835,10.189483966591391,1.9862386909984444
1691493614.3894348,12.316374351181258,10.218557539698152,2.0978168114831064
1691493619.4053764,12.465655374721742,10.24673417342024,2.2189212013015016
1691493624.449141,12.608218463589473,10.268266096944993,2.3399523666444804
1691493629.456469,12.74187103259175,10.285626987160027,2.4562440454317223
1691493634.4985018,12.88116186019085,10.30232717237316,2.5788346878176913
1691493639.5316758,12.995445463546814,10.291607910114573,2.7038375534322405
1691493644.5768576,13.038469829605244,10.285923175098723,2.7525466545065207
1691493649.627843,13.079781176102792,10.290919278117041,2.7888618979857505
1691493654.6784177,13.095439633435513,10.287372910596906,2.808066722838607
1691493659.6907392,13.097995271161006,10.281086911155807,2.8169083600051987
1691493664.733146,13.098722635012198,10.277250113463346,2.821472521548852
1691493669.73799,13.096919422414194,10.27311017744471,2.8238092449694836
1691493674.7634714,13.096080034422778,10.269098914756096,2.826981119666682
1691493679.8074949,13.094629316705362,10.26271167594299,2.831917640762372
1691493684.834003,13.09362260079943,10.258265605407992,2.8353569953914377
1691493689.8744147,13.093178883219869,10.255563472584559,2.83761541063531
1691493694.9051807,13.09192204103399,10.252171581684246,2.8397504593497445
1691493699.9476275,13.091966767224779,10.248401498113836,2.843565269110943
1691493704.9766953,13.092037047294406,10.24849787438787,2.843539172906537
1691493710.0178156,13.092196652184375,10.248989190016855,2.84320746216752
1691493715.0575438,13.092371914867838,10.248133782518924,2.8442381323489148
1691493720.0871391,13.092643434436722,10.247803825633031,2.8448396088036905
1691493725.0987768,13.093296035867011,10.248004795512571,2.84529124035444
1691493730.1343822,13.093995444064817,10.248937407563957,2.845058036500859
1691493735.146992,13.094377349930713,10.250131549061924,2.844245800868789
1691493740.1785786,13.095085830953778,10.251715757268107,2.843370073685671
1691493745.2281501,13.0955937752234,10.252979873905439,2.8426139013179608
1691493750.2607837,13.095222867984244,10.253438967568954,2.8417839004152903
1691493755.2817194,13.095846372584633,10.254246450604162,2.841599921980471
